PATRONS_FAE_GHP.5.b;Siamorphe the Divine Right, goddess of nobility.;;;;;;;;;;;x
PATRONS_FAE_GHP.5.c;Bahamut the Platinum Dragon, god of wisdom and mercy.;;;;;;;;;;;x
PATRONS_FAE_GHP.19.a;[Root.HoarLoc], the god of vengeance and retribution.;;;;;;;;;;;x
PATRONS_FAE_GHP.19.b;[Root.AmaunatorLoc], the god of lawmakers and bureaucracy.;;;;;;;;;;;x
PATRONS_FAE_GHP.19.c;[Root.HorusReLoc], the god of the sun and rulership.;;;;;;;;;;;x
PATRONS_FAE_GHP.5.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.6.desc;Choosing a god of nature will show my concern for the lands I govern.;;;;;;;;;;;x
PATRONS_FAE_GHP.6.a;[Root.ChaunteaLoc] the Earthmother, goddess of agriculture.;;;;;;;;;;;x
PATRONS_FAE_GHP.6.b;Silvanus the Forest Father, god of the wilderness.;;;;;;;;;;;x
PATRONS_FAE_GHP.6.c;[Root.MielikkiLoc] the Supreme Ranger, goddess of wild animals.;;;;;;;;;;;x
PATRONS_FAE_GHP.6.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_GHP.7.desc;Maybe a more specialised nature deity would suit me.;;;;;;;;;;;x
PATRONS_FAE_GHP.7.a;Eldath the Green Goddess, patron of peace and lakes.;;;;;;;;;;;x
PATRONS_FAE_GHP.7.b;Shiallia the Golden, goddess of fertility.;;;;;;;;;;;x
PATRONS_FAE_GHP.7.c;Lurue the Unicorn, queen of talking beasts.;;;;;;;;;;;x
PATRONS_FAE_GHP.7.d;There are yet others...;;;;;;;;;;;x
PATRONS_FAE_GHP.8.desc;Maybe another nature deity would fit me better.;;;;;;;;;;;x
PATRONS_FAE_GHP.8.a;Gwaeron Windstrom, the supreme tracker.;;;;;;;;;;;x
PATRONS_FAE_GHP.8.b;Auril the Frostmaiden, goddess of winter.;;;;;;;;;;;x
PATRONS_FAE_GHP.8.c;Kossuth the Firelord, primordial of flame.;;;;;;;;;;;x
PATRONS_FAE_GHP.20.a;Grumbar, primordial of earth.;;;;;;;;;;;x
PATRONS_FAE_GHP.20.b;Istishia, primordial of water.;;;;;;;;;;;x
PATRONS_FAE_GHP.20.c;Nobanion, the primal spirit of lions and good beast.;;;;;;;;;;;x
PATRONS_FAE_GHP.21.a;Ibrandul, the god of the Underdark and caverns.;;;;;;;;;;;x
PATRONS_FAE_GHP.8.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.9.desc;Choosing a god of conflict will show the strength with which I mean to rule.;;;;;;;;;;;x
PATRONS_FAE_GHP.9.a;Tempus, Lord of Battles, chief god of war.;;;;;;;;;;;x
PATRONS_FAE_GHP.9.b;Red Knight, mistress of strategy.;;;;;;;;;;;x
PATRONS_FAE_GHP.9.c;Valkur the Mighty, god of sailing and raiding.;;;;;;;;;;;x
PATRONS_FAE_GHP.9.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.9.e;There are others...;;;;;;;;;;;x
PATRONS_FAE_GHP.22.desc;Maybe another war deity would fit me better.;;;;;;;;;;;x
PATRONS_FAE_GHP.22.a;[Root.AnhurLoc], the god of conflict and physical prowess.;;;;;;;;;;;x
PATRONS_FAE_GHP.22.b;Tchazzar, god of Chessenta and victory.;;;;;;;;;;;x
PATRONS_FAE_GHP.22.c;Eilistraee, goddes of dance, freedom and hunting.;;;;;;;;;;;x
PATRONS_FAE_GHP.10.desc;Choosing a god of knowledge or the secular arts will show my commitment to learning.;;;;;;;;;;;x
PATRONS_FAE_GHP.10.a;[Root.OghmaLoc] the Binder, god of knowledge.;;;;;;;;;;;x
PATRONS_FAE_GHP.10.b;[Root.GondLoc] Wonderbringer, master of invention.;;;;;;;;;;;x
PATRONS_FAE_GHP.10.c;Milil, Lord of Song, god of the secular creative arts.;;;;;;;;;;;x
PATRONS_FAE_GHP.10.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_GHP.11.desc;A different deity of knowledge might be more suitable.;;;;;;;;;;;x
PATRONS_FAE_GHP.11.a;Deneir the First Scribe, god of literature.;;;;;;;;;;;x
PATRONS_FAE_GHP.11.b;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.12.desc;Dedicating myself to a god of magic will show my respect for the True Art.;;;;;;;;;;;x
PATRONS_FAE_GHP.12.a;[Root.MystraLoc], personification of the Weave, goddess of all magic.;;;;;;;;;;;x
PATRONS_FAE_GHP.12.b;Azuth, god of wizards and spellcraft.;;;;;;;;;;;x
PATRONS_FAE_GHP.12.c;Leira, goddess of illusion and mystery.;;;;;;;;;;;x
PATRONS_FAE_GHP.12.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_GHP.13.desc;Maybe another god of magic would suit me better.;;;;;;;;;;;x
PATRONS_FAE_GHP.13.a;Savras the All-Seeing, god of divination.;;;;;;;;;;;x
PATRONS_FAE_GHP.13.c;[Root.ThothLoc], the god of scribes and secrets.;;;;;;;;;;;x
PATRONS_FAE_GHP.13.b;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.14.desc;Worshipping a god of leisure and happiness will show that I mean to be a bountiful ruler.;;;;;;;;;;;x
PATRONS_FAE_GHP.14.a;Lathander the Morninglord, god of dawn, daylight, and renewal.;;;;;;;;;;;x
PATRONS_FAE_GHP.14.b;Sune Firehair, goddess of beauty and passion.;;;;;;;;;;;x
PATRONS_FAE_GHP.14.c;Lliira Joybringer, goddess of happiness and dance.;;;;;;;;;;;x
PATRONS_FAE_GHP.14.d;Maybe another deity of pleasure is more suitable.;;;;;;;;;;;x
PATRONS_FAE_GHP.15.desc;Worshipping a deity of pleasure and the senses would show I enjoy the good things in life.;;;;;;;;;;;x
PATRONS_FAE_GHP.15.a;[Root.SharessLoc], goddess of sexuality and sensual pleasure.;;;;;;;;;;;x
PATRONS_FAE_GHP.15.c;[Root.IsisLoc], the goddess of weather and marriage.;;;;;;;;;;;x
PATRONS_FAE_GHP.15.d;[Root.HathorLoc], the goddess of motherhood and dance.;;;;;;;;;;;x
PATRONS_FAE_GHP.15.b;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.16.desc;Honouring a deity of chance and good fortune will show that I wish good things for my people.;;;;;;;;;;;x
PATRONS_FAE_GHP.16.a;Tymora, goddess of good luck.;;;;;;;;;;;x
PATRONS_FAE_GHP.16.b;Waukeen, goddess of commerce and prosperity.;;;;;;;;;;;x
PATRONS_FAE_GHP.16.d;[Root.GebLoc], god of minerals and miners.;;;;;;;;;;;x
PATRONS_FAE_GHP.16.e;Maybe another deity of fortune is more suitable.;;;;;;;;;;;x
PATRONS_FAE_GHP.16.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.23.desc;Honouring a deity of chance and good fortune will show that I wish good things for my people.;;;;;;;;;;;x
PATRONS_FAE_GHP.23.a;[Root.NephthysLoc], goddes of trade and protector of the dead.;;;;;;;;;;;x
PATRONS_FAE_GHP.17.desc;Worshipping a god of travel will demonstrate my concern for wayfarers in my domains.;;;;;;;;;;;x
PATRONS_FAE_GHP.17.a;[Root.SeluneLoc] the Moonmaiden, goddess of navigation and of the cycles of life.;;;;;;;;;;;x
PATRONS_FAE_GHP.17.b;Shaundakul the Rider of the Winds, god of the winds, travellers and exploration.;;;;;;;;;;;x
PATRONS_FAE_GHP.17.c;Finder Wyvernspur, god of change and transition.;;;;;;;;;;;x
PATRONS_FAE_GHP.17.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.17.e;Maybe another deity of fortune is more suitable.;;;;;;;;;;;x
PATRONS_FAE_GHP.24.desc;Worshipping a god of travel will demonstrate my concern for wayfarers in my domains.;;;;;;;;;;;x
PATRONS_FAE_GHP.24.a;Akadi, primordial of air;;;;;;;;;;;x
PATRONS_FAE_GHP.24.b;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.18.desc;Worshipping a god of death will represent my seriousness and concern for the future.;;;;;;;;;;;x
PATRONS_FAE_GHP.18.a;Kelemvor, Lord of the Dead, judge of the afterlife.;;;;;;;;;;;x
PATRONS_FAE_GHP.18.b;Jergal, the Scribe of Death, recorder of deeds.;;;;;;;;;;;x
PATRONS_FAE_GHP.18.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_GHP.18.d;Osiris, god of justice and death.;;;;;;;;;;;x
###SOMETHING ELSE;;;;;;;;;;;;x
patrons_fae_cf;Choose a Patron Deity;;;;;;;;;;;x
patrons_fae_cf_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_CF.1.desc;Maybe I should choose a deity whose nature and special areas of concern are fitting to my position and governance.;;;;;;;;;;;x
PATRONS_FAE_CF.1.a;One of the gods of justice and good rulership.;;;;;;;;;;;x
PATRONS_FAE_CF.1.b;One of the gods of the natural world of Toril.;;;;;;;;;;;x
PATRONS_FAE_CF.1.c;One of the gods of violence and combat.;;;;;;;;;;;x
PATRONS_FAE_CF.1.d;A god with a different sort of portfolio...;;;;;;;;;;;x
PATRONS_FAE_CF.2.desc;Maybe I should choose a deity who sponsors an activity which is close to my heart.;;;;;;;;;;;x
PATRONS_FAE_CF.2.a;One of the gods of light and inspiration.;;;;;;;;;;;x
PATRONS_FAE_CF.2.b;One of the gods of magic and sorcery.;;;;;;;;;;;x
PATRONS_FAE_CF.2.c;One of the gods of leisure and happiness.;;;;;;;;;;;x
PATRONS_FAE_CF.2.d;A god with a different sort of portfolio...;;;;;;;;;;;x
PATRONS_FAE_CF.3.desc;Maybe I should choose a deity who will guide me through the unexpected and difficult parts of life.;;;;;;;;;;;x
PATRONS_FAE_CF.3.a;One of the gods of chance and good fortune.;;;;;;;;;;;x
PATRONS_FAE_CF.3.b;One of the gods of darkness and concealment.;;;;;;;;;;;x
PATRONS_FAE_CF.3.c;A god with a different sort of portfolio...;;;;;;;;;;;x
PATRONS_FAE_CF.4.desc;Choosing a god of justice will show what kind of ruler I mean to be.;;;;;;;;;;;x
PATRONS_FAE_CF.4.a;Anachtyr, god of justice and lawmaking.;;;;;;;;;;;x
PATRONS_FAE_CF.4.b;Torm the True, god of loyalty.;;;;;;;;;;;x
PATRONS_FAE_CF.4.c;Ilmater, the Crying God, patron of those who suffer.;;;;;;;;;;;x
PATRONS_FAE_CF.4.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.6.desc;Choosing a god of nature will show my attunement to the world around me.;;;;;;;;;;;x
PATRONS_FAE_CF.6.a;Nobanion Firemane, lion-spirit of royalty and good animals.;;;;;;;;;;;x
PATRONS_FAE_CF.6.b;Bhaelros Stormlord, god of natural disasters.;;;;;;;;;;;x
PATRONS_FAE_CF.6.c;Akadi the Lady of the Winds, primordial of Air.;;;;;;;;;;;x
PATRONS_FAE_CF.6.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.9.desc;Choosing a god of conflict will show the strength with which I mean to rule.;;;;;;;;;;;x
PATRONS_FAE_CF.9.a;Garagos the Reaver, master of all weapons.;;;;;;;;;;;x
PATRONS_FAE_CF.9.b;Red Knight, mistress of strategy.;;;;;;;;;;;x
PATRONS_FAE_CF.9.c;Malar the Beastlord, god of the hunt.;;;;;;;;;;;x
PATRONS_FAE_CF.9.d;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.10.desc;Choosing a god of light and inspiration while show the positive nature of my rule.;;;;;;;;;;;x
PATRONS_FAE_CF.10.a;Lathander the Morninglord, god of dawn, daylight, and renewal.;;;;;;;;;;;x
PATRONS_FAE_CF.10.b;Selûne the Moonmaiden, goddess of navigation and of the cycles of life.;;;;;;;;;;;x
PATRONS_FAE_CF.10.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.12.desc;Dedicating myself to a god of magic will show my respect for the True Art.;;;;;;;;;;;x
PATRONS_FAE_CF.12.a;Mystra, personification of the Weave, goddess of all magic.;;;;;;;;;;;x
PATRONS_FAE_CF.12.b;Azuth, god of wizards and spellcraft.;;;;;;;;;;;x
PATRONS_FAE_CF.12.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.14.desc;Worshipping a god of leisure and happiness will show that I mean to be a bountiful ruler.;;;;;;;;;;;x
PATRONS_FAE_CF.14.a;Lliira Joybringer, goddess of happiness and dance.;;;;;;;;;;;x
PATRONS_FAE_CF.14.b;Sharess, goddess of sexuality and sensual pleasure.;;;;;;;;;;;x
PATRONS_FAE_CF.14.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.16.desc;Honouring a deity of chance and good fortune will show that I wish good things for my people.;;;;;;;;;;;x
PATRONS_FAE_CF.16.a;Tymora, goddess of good luck.;;;;;;;;;;;x
PATRONS_FAE_CF.16.b;Waukeen, goddess of commerce and prosperity.;;;;;;;;;;;x
PATRONS_FAE_CF.16.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_CF.17.desc;Worshipping a god of darkness and concealment will show my subjects that they should rely on me for protection in this harsh world.;;;;;;;;;;;x
PATRONS_FAE_CF.17.a;Shar Nightsinger, goddess of secrets and forgetting.;;;;;;;;;;;x
PATRONS_FAE_CF.17.b;Ibrandul, Lord of the Dry Depths, god of caverns and stealth.;;;;;;;;;;;x
PATRONS_FAE_CF.17.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
###FEY ELF;;;;;;;;;;;;x
patrons_fae_elven;Choose a Patron Deity;;;;;;;;;;;x
patrons_fae_elven_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_ELF.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_ELF.1.a;Corellon Larethian, god of elves, magic and warfare.;;;;;;;;;;;x
PATRONS_FAE_ELF.1.b;Sehanine Moonbow, goddess of the moon and death.;;;;;;;;;;;x
PATRONS_FAE_ELF.1.c;Hanali Celanil, goddes of love and beauty.;;;;;;;;;;;x
PATRONS_FAE_ELF.1.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_ELF.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_ELF.2.a;Labelas Enoreth, god of time and history.;;;;;;;;;;;x
PATRONS_FAE_ELF.2.b;Rillifane Rallathil, god of nature and woodlands.;;;;;;;;;;;x
PATRONS_FAE_ELF.2.c;Fenmarel Mestarine, god of outcasts and isolation.;;;;;;;;;;;x
PATRONS_FAE_ELF.2.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_ELF.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_ELF.3.a;Aerdrie Faenya, goddess of wind and weather.;;;;;;;;;;;x
PATRONS_FAE_ELF.3.b;Shevarash, god of vengeance and loss.;;;;;;;;;;;x
PATRONS_FAE_ELF.3.c;Solonor Thelandira, god of hunting and archery.;;;;;;;;;;;x
PATRONS_FAE_ELF.3.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_ELF.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_ELF.4.a;[Root.MielikkiLoc], goddess of forest creatures and rangers.;;;;;;;;;;;x
PATRONS_FAE_ELF.4.b;[Root.LurueLoc], goddess of unicorns and pegasi.;;;;;;;;;;;x
PATRONS_FAE_ELF.4.d;Vandria Gilmadrith, goddess of war and grief.;;;;;;;;;;;x
PATRONS_FAE_ELF.4.c;There are others...;;;;;;;;;;;x
###DROW ELF;;;;;;;;;;;;x
patrons_fae_drow;Choose a Patron Deity;;;;;;;;;;;x
patrons_fae_drow_desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DROW.1.desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DROW.1.a;Eilistraee, goddes of dance, freedom and hunting.;;;;;;;;;;;x
PATRONS_FAE_DROW.1.b;Vhaeraun, god of thieves, arrogance and shadows.;;;;;;;;;;;x
PATRONS_FAE_DROW.1.c;Ghaunandaur, god of oozes and rebels.;;;;;;;;;;;x
PATRONS_FAE_DROW.1.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_DROW.2.desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DROW.2.a;Kiaransalee, goddes of necromancy and vengeance.;;;;;;;;;;;x
PATRONS_FAE_DROW.2.b;Selvetarm, god of warriors and slaughter.;;;;;;;;;;;x
PATRONS_FAE_DROW.2.c;Zinzerena, goddess of assassins and lies.;;;;;;;;;;;x
PATRONS_FAE_DROW.2.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_DROW.3.desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DROW.3.1;Malyk, god of wild magic.;;;;;;;;;;;x
PATRONS_FAE_DROW.3.b;There are others...;;;;;;;;;;;x
###DRAGON DRACONIC;;;;;;;;;;;;x
patrons_fae_dragon;Choose a Patron Deity;;;;;;;;;;;x
patrons_fae_dragon_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.a;Asgorath, god and primordial who created dragons;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.b;Zorquan, god of "dragonness".;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.c;Astilabor, goddess of acquisitiveness and wealth.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.a;Bahamut, god of honour and valour.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.b;Tiamat, goddess of vengeance and domination.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.c;Sardior, god of neutrality and psionics.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.a;Hlal, goddess of humour and inventiveness.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.b;Lendys, god of justice.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.c;Tamara, goddess of mercy and healing.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.a;Garyx, god of fire and destruction.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.b;Kereska, goddess of magic.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.c;Null, god of death.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.a;Task, god of greed.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.c;Kurtulmak, god of kobolds and traps.;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.b;There are others...;;;;;;;;;;;x
###FAERUN EVIL;;;;;;;;;;;;x
patrons_fae_ehp;Choose a Patron Deity;;;;;;;;;;;x
patrons_fae_ehp_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;x
PATRONS_FAE_EHP.1.desc;Maybe I should choose a deity whose nature and special areas of concern are fitting to my position and governance.;;;;;;;;;;;x
PATRONS_FAE_EHP.1.a;One of the gods of rulership and domination.;;;;;;;;;;;x
PATRONS_FAE_EHP.1.b;One of the gods of the natural world of Toril.;;;;;;;;;;;x
PATRONS_FAE_EHP.1.c;One of the gods of violence and combat.;;;;;;;;;;;x
PATRONS_FAE_EHP.1.d;A god with a different sort of portfolio...;;;;;;;;;;;x
PATRONS_FAE_EHP.2.desc;Maybe I should choose a deity who sponsors an activity which is close to my heart.;;;;;;;;;;;x
PATRONS_FAE_EHP.2.a;One of the gods of magic and sorcery.;;;;;;;;;;;x
PATRONS_FAE_EHP.2.b;One of the gods of knowledge and invention.;;;;;;;;;;;x
PATRONS_FAE_EHP.2.c;One of the gods of society and its activities.;;;;;;;;;;;x
PATRONS_FAE_EHP.2.d;A god with a different sort of portfolio...;;;;;;;;;;;x
PATRONS_FAE_EHP.3.desc;Maybe I should choose a deity who will guide me through the unexpected and difficult parts of life.;;;;;;;;;;;x
PATRONS_FAE_EHP.3.a;One of the gods of darkness and concealment.;;;;;;;;;;;x
PATRONS_FAE_EHP.3.b;One of the gods of death and the dead.;;;;;;;;;;;x
PATRONS_FAE_EHP.3.c;A god with a different sort of portfolio...;;;;;;;;;;;x
PATRONS_FAE_EHP.4.desc;Choosing a god of rulership will show that I am meant to be in charge.;;;;;;;;;;;x
PATRONS_FAE_EHP.4.a;Lord Bane, god of tyranny, fear and hatred.;;;;;;;;;;;x
PATRONS_FAE_EHP.4.b;Hoar, god of retribution and poetic justice.;;;;;;;;;;;x
PATRONS_FAE_EHP.4.c;Loviatar, goddess of pain and torture.;;;;;;;;;;;x
PATRONS_FAE_EHP.4.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_EHP.5.desc;A lesser-known god of rulership might reflect my ambitions better.;;;;;;;;;;;x
PATRONS_FAE_EHP.5.a;Siamorphe, goddess of nobles and royalty.;;;;;;;;;;;x
PATRONS_FAE_EHP.5.b;Tiamat, goddess of chromatic dragons and greed.;;;;;;;;;;;x
PATRONS_FAE_EHP.5.c;Gargauth, the exiled archdevil.;;;;;;;;;;;x
PATRONS_FAE_EHP.5.d;There are others...;;;;;;;;;;;x
PATRONS_FAE_EHP.6.desc;A lesser-known god of rulership might reflect my ambitions better.;;;;;;;;;;;x
PATRONS_FAE_EHP.6.a;Iyachtu Xvim the Baneson, god of tyranny and hatred.;;;;;;;;;;;x
PATRONS_FAE_EHP.6.b;[Root.AmaunatorLoc], god of law and bureaucracy.;;;;;;;;;;;x
PATRONS_FAE_EHP.6.c;Perhaps a different kind of deity after all...;;;;;;;;;;;x
PATRONS_FAE_EHP.7.desc;Choosing a god of nature will show my concern for the lands I govern.;;;;;;;;;;;x
PATRONS_FAE_EHP.7.a;Kossuth, primordial of fire.;;;;;;;;;;;x
PATRONS_FAE_EHP.7.b;Silvanus, god of the wilderness.;;;;;;;;;;;x
PATRONS_FAE_EHP.7.c;Umberlee, goddess of the wrathful sea.;;;;;;;;;;;x
PATRONS_FAE_EHP.7.d;There are others...;;;;;;;;;;;x
